,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
1266,1266,3.0,0.4417000114917755,"work, product, well, problem, return, item, box, screen, bad, battery","['convoy', 'choice', 'convoy', 'font', 'small', 'hardly', 'read', 'picture', 'send', 'small', 'change', 'font', 'new', 'small', 'read', 'text', 'everyday', 'grandchild', 'stick', 'year']"
1267,1267,3.0,0.5473999977111816,"work, product, well, problem, return, item, box, screen, bad, battery","['durable', 'decent', 'price', 'work']"
1268,1268,3.0,0.5023999810218811,"work, product, well, problem, return, item, box, screen, bad, battery","['software', 'problem', 'convoy', 'size', 'convoy', 'nearly', 'impossible', 'speak', 'fix', 'choice', 'small', 'small', 'similar', 'convoy']"
1269,1269,3.0,0.43160000443458557,"work, product, well, problem, return, item, box, screen, bad, battery","['site', 'text', 'small', 'texting', 'image', 'convoy', 'person', 'true', 'conflicting', 'opinion', 'wait', 'decision', 'buy', 'verizon', 'store', 'look', 'guess', 'way', 'purchase']"
1270,1270,1.0,0.43059998750686646,"buy, price, fast, really, give, love, look, money, day, quality","['smart', 'always', 'buy', 'basic', 'type', 'second', 'buy', 'pre', 'disappointed', 'button', 'big', 'enough', 'finger', 'basic', 'function', 'order', 'work', 'battery', 'last', 'day', 'defiantly', 'recommend', 'old', 'look', 'reliable', 'basic']"
1271,1271,3.0,0.6995999813079834,"work, product, well, problem, return, item, box, screen, bad, battery","['let', 'start', 'product', 'however', 'find', 'detrimental', 'issue', 'continually', 'pop', 'insert', 'mobile', 'tell', 'known', 'issue', 'give', 'new', 'problem', 'bad', 'restarted', 'issue', 'time', 'day', 'sometimes', 'bad', 'constantly', 'happen', 'error', 'hour', 'fine', 'really', 'unable', 'receive', 'call', 'text', 'email', 'work', 'replace', 'answer', 'yet']"
1272,1272,3.0,0.4715999960899353,"work, product, well, problem, return, item, box, screen, bad, battery","['great', 'condition', 'far', 'outer', 'appearance', 'concern', 'dent', 'scratch', 'issue', 'hour', 'charge', 'lose', 'charge', 'quickly', 'keep', 'lose', 'error', 'several', 'tea', 'day', 'lose', 'signal', 'restart', 'excite', 'work']"
1273,1273,3.0,0.44429999589920044,"work, product, well, problem, return, item, box, screen, bad, battery","['order', 'shipping', 'delay', 'base', 'information', 'provide', 'due', 'usp', 'way', 'seller', 'fault', 'arrive', 'promise', 'couple', 'week', 'work', 'fine']"
1274,1274,1.0,0.5960999727249146,"buy, price, fast, really, give, love, look, money, day, quality","['water', 'damage', 'device', 'power', 'remove', 'water', 'damge', 'maker', 'hide', 'fact', 'forget', 'battery']"
1275,1275,3.0,0.5921000242233276,"work, product, well, problem, return, item, box, screen, bad, battery","['locked', 'tmobile', 'describe', 'brand', 'problem', 'work']"
1276,1276,0.0,0.25,"expect, para, exactly, todo, telefono, vendedor, por, expectation, gift, color",[]
1277,1277,3.0,0.75,"work, product, well, problem, return, item, box, screen, bad, battery","['problem', 'yet']"
1278,1278,3.0,0.6312999725341797,"work, product, well, problem, return, item, box, screen, bad, battery","['work', 'great', 'damage', 'battery', 'area', 'report', 'description', 'damage', 'side', 'affect', 'charging']"
1279,1279,2.0,0.5415999889373779,"describe, new, connect, screen, week, brand, last, basic, arrive, glass","['brand', 'new', 'packaging', 'problem', 'activate']"
1280,1280,2.0,0.75,"describe, new, connect, screen, week, brand, last, basic, arrive, glass","['arrive', 'break']"
1281,1281,2.0,0.48969998955726624,"describe, new, connect, screen, week, brand, last, basic, arrive, glass","['condition', 'state', 'compliant']"
1282,1282,0.0,0.25,"expect, para, exactly, todo, telefono, vendedor, por, expectation, gift, color",[]
1283,1283,3.0,0.656000018119812,"work, product, well, problem, return, item, box, screen, bad, battery","['send', 'wrong', 'color', 'sound', 'work', 'minute', 'call']"
1284,1284,0.0,0.25,"expect, para, exactly, todo, telefono, vendedor, por, expectation, gift, color",[]
1285,1285,1.0,0.6385999917984009,"buy, price, fast, really, give, love, look, money, day, quality","['buy', 'husband', 'love', 'guess']"
